treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected
P,HOK,HOK ,HOK,H,2,4,5,6A,960,1.446,3.817821782
AB,HOK,HOK ,HOK,H,2,4,5,6B,960,0.604,1.594719472
P,SEK,HOK ,HOK,A,2,4,5,6C,960,1.119,2.954455446
AB,SEK,HOK ,HOK,A,2,4,5,6D,960,0.6,1.584158416
P,SEK,SEK ,HOK,A,2,4,5,6E,960,1.634,4.314191419
AB,SEK,SEK ,HOK,A,2,4,5,6F,960,1.296,3.421782178
P,HOK,SEK ,HOK,H,2,4,5,6G,960,0.585,1.544554455
AB,HOK,SEK ,HOK,H,2,4,5,6H,960,0.703,1.856105611
P,HOK,HOK ,HOK,H,2,3,5,7A,960,0.682,1.800660066
AB,HOK,HOK ,HOK,H,2,3,5,7B,960,0.247,0.6521452145
P,SEK,HOK ,HOK,A,2,3,5,7C,960,1.019,2.690429043
AB,SEK,HOK ,HOK,A,2,3,5,7D,960,0.362,0.9557755776
P,SEK,SEK ,HOK,A,2,3,5,7E,960,0.751,1.982838284
AB,SEK,SEK ,HOK,A,2,3,5,7F,960,1.438,3.79669967
P,HOK,SEK ,HOK,H,2,3,5,7G,960,1.075,2.838283828
AB,HOK,SEK ,HOK,H,2,3,5,7H,960,0.876,2.312871287
P,HOK,HOK ,HOK,H,2,3,5,8A,960,0.667,1.761056106
AB,HOK,HOK ,HOK,H,2,3,5,8B,960,0.294,0.7762376238
P,SEK,HOK ,HOK,A,2,3,5,8C,960,0.397,1.048184818
AB,SEK,HOK ,HOK,A,2,3,5,8D,960,1.092,2.883168317
P,SEK,SEK ,HOK,A,2,3,5,8E,960,1.616,4.266666667
AB,SEK,SEK ,HOK,A,2,3,5,8F,960,0.297,0.7841584158
P,HOK,SEK ,HOK,H,2,3,5,8G,960,0.683,1.80330033
AB,HOK,SEK ,HOK,H,2,3,5,8H,960,0.758,2.001320132
P,HOK,HOK ,HOK,H,2,3,5,9A,960,0.592,1.563036304
AB,HOK,HOK ,HOK,H,2,3,5,9B,960,0.508,1.341254125
P,SEK,HOK ,HOK,A,2,3,5,9C,960,0.51,1.346534653
AB,SEK,HOK ,HOK,A,2,3,5,9D,960,0.461,1.217161716
P,SEK,SEK ,HOK,A,2,3,5,9E,960,1.106,2.920132013
AB,SEK,SEK ,HOK,A,2,3,5,9F,960,0.492,1.299009901
P,HOK,SEK ,HOK,H,2,3,5,9G,960,0.929,2.452805281
AB,HOK,SEK ,HOK,H,2,3,5,9H,960,0.899,2.37359736
P,HOK,HOK ,HOK,H,2,2,5,10A,960,0.744,1.964356436
AB,HOK,HOK ,HOK,H,2,2,5,10B,960,1.119,2.954455446
P,SEK,HOK ,HOK,A,2,2,5,10C,960,1.189,3.139273927
AB,SEK,HOK ,HOK,A,2,2,5,10D,960,1.472,3.886468647
P,SEK,SEK ,HOK,A,2,2,5,10E,960,1.047,2.764356436
AB,SEK,SEK ,HOK,A,2,2,5,10F,960,0.733,1.935313531
P,HOK,SEK ,HOK,H,2,2,5,10G,960,1.223,3.229042904
AB,HOK,SEK ,HOK,H,2,2,5,10H,960,2.051,5.415181518
P,HOK,HOK ,SEK,A,1,5,5,1A,960,0.756,9.219512195
AB,HOK,HOK ,SEK,A,1,5,5,1B,960,0.48,5.853658537
P,SEK,HOK ,SEK,H,1,5,5,1C,960,0.485,5.914634146
AB,SEK,HOK ,SEK,H,1,5,5,1D,960,1.417,17.2804878
P,SEK,SEK ,SEK,H,1,5,5,1E,960,0.443,5.402439024
AB,SEK,SEK ,SEK,H,1,5,5,1F,960,0.313,3.817073171
P,HOK,SEK ,SEK,A,1,5,5,1G,960,1.386,16.90243902
AB,HOK,SEK ,SEK,A,1,5,5,1H,960,0.505,6.158536585
P,HOK,HOK ,SEK,A,1,5,5,2A,960,1.51,18.41463415
AB,HOK,HOK ,SEK,A,1,1,5,2B,960,1.66,20.24390244
P,SEK,HOK ,SEK,H,1,1,5,2C,960,1.364,16.63414634
AB,SEK,HOK ,SEK,H,1,1,5,2D,960,1.455,17.74390244
P,SEK,SEK ,SEK,H,1,1,5,2E,960,0.922,11.24390244
AB,SEK,SEK ,SEK,H,1,1,5,2F,960,0.51,6.219512195
P,HOK,SEK ,SEK,A,1,1,5,2G,960,0.697,8.5
AB,HOK,SEK ,SEK,A,1,1,5,2H,960,1.131,13.79268293
P,HOK,HOK ,SEK,A,1,1,5,3A,960,1.056,12.87804878
AB,HOK,HOK ,SEK,A,1,1,5,3B,960,0.299,3.646341463
P,SEK,HOK ,SEK,H,1,1,5,3C,960,1.526,18.6097561
AB,SEK,HOK ,SEK,H,1,1,5,3D,960,0.411,5.012195122
P,SEK,SEK ,SEK,H,1,1,5,3E,960,0.698,8.512195122
AB,SEK,SEK ,SEK,H,1,1,5,3F,960,1.051,12.81707317
P,HOK,SEK ,SEK,A,1,1,5,3G,960,1.77,21.58536585
AB,HOK,SEK ,SEK,A,1,1,5,3H,960,0.369,4.5
P,HOK,HOK ,SEK,A,1,1,5,4A,960,0.637,7.768292683
AB,HOK,HOK ,SEK,A,1,1,5,4B,960,0.613,7.475609756
P,SEK,HOK ,SEK,H,1,1,5,4C,960,1.342,16.36585366
AB,SEK,HOK ,SEK,H,1,1,5,4D,960,1.238,15.09756098
P,SEK,SEK ,SEK,H,1,1,5,4E,960,0.478,5.829268293
AB,SEK,SEK ,SEK,H,1,1,5,4F,960,0.377,4.597560976
P,HOK,SEK ,SEK,A,1,1,5,4G,960,1.179,14.37804878
AB,HOK,SEK ,SEK,A,1,1,5,4H,960,0.537,6.548780488
P,HOK,HOK ,SEK,A,1,1,5,5A,960,0.463,5.646341463
AB,HOK,HOK ,SEK,A,1,1,5,5B,960,1.154,14.07317073
P,SEK,HOK ,SEK,H,1,1,5,5C,960,1.174,14.31707317
AB,SEK,HOK ,SEK,H,1,1,5,5D,960,1.572,19.17073171
P,SEK,SEK ,SEK,H,1,1,5,5E,960,0.429,5.231707317
AB,SEK,SEK ,SEK,H,1,1,5,5F,960,0.492,6
P,HOK,SEK ,SEK,A,1,1,5,5G,960,1.257,15.32926829
AB,HOK,SEK ,SEK,A,1,1,5,5H,960,0.711,8.670731707
P,HOK,HOK ,HOK,H,1,5,5,6A,960,0.634,7.731707317
AB,HOK,HOK ,HOK,H,1,5,5,6B,960,0.181,2.207317073
P,SEK,HOK ,HOK,A,1,5,5,6C,960,0.897,10.93902439
AB,SEK,HOK ,HOK,A,1,5,5,6D,960,0.648,7.902439024
P,SEK,SEK ,HOK,A,1,5,5,6E,960,0.566,6.902439024
AB,SEK,SEK ,HOK,A,1,5,5,6F,960,1.481,18.06097561
P,HOK,SEK ,HOK,H,1,5,5,6G,960,1.367,16.67073171
AB,HOK,SEK ,HOK,H,1,5,5,6H,960,0.639,7.792682927
P,HOK,HOK ,HOK,H,1,5,5,7A,960,0.589,7.182926829
AB,HOK,HOK ,HOK,H,1,5,5,7B,960,0.414,5.048780488
P,SEK,HOK ,HOK,A,1,5,5,7C,960,0.911,11.1097561
AB,SEK,HOK ,HOK,A,1,5,5,7D,960,0.332,4.048780488
P,SEK,SEK ,HOK,A,1,5,5,7E,960,1.164,14.19512195
AB,SEK,SEK ,HOK,A,1,5,5,7F,960,0.337,4.109756098
P,HOK,SEK ,HOK,H,1,5,5,7G,960,0.289,3.524390244
AB,HOK,SEK ,HOK,H,1,5,5,7H,960,0.664,8.097560976
P,HOK,HOK ,HOK,H,1,5,5,8A,960,0.508,6.195121951
AB,HOK,HOK ,HOK,H,1,5,5,8B,960,0.442,5.390243902
P,SEK,HOK ,HOK,A,1,5,5,8C,960,0.334,4.073170732
AB,SEK,HOK ,HOK,A,1,5,5,8D,960,0.343,4.182926829
P,SEK,SEK ,HOK,A,1,5,5,8E,960,0.53,6.463414634
AB,SEK,SEK ,HOK,A,1,5,5,8F,960,0.574,7
P,HOK,SEK ,HOK,H,1,5,5,8G,960,1.37,16.70731707
AB,HOK,SEK ,HOK,H,1,5,5,8H,960,0.939,11.45121951
P,HOK,HOK ,HOK,H,1,4,5,9A,960,0.995,12.13414634
AB,HOK,HOK ,HOK,H,1,4,5,9B,960,0.778,9.487804878
P,SEK,HOK ,HOK,A,1,4,5,9C,960,0.581,7.085365854
AB,SEK,HOK ,HOK,A,1,4,5,9D,960,0.558,6.804878049
P,SEK,SEK ,HOK,A,1,4,5,9E,960,0.409,4.987804878
AB,SEK,SEK ,HOK,A,1,4,5,9FR,960,0.666,8.12195122
P,HOK,SEK ,HOK,H,1,4,5,9G,960,2.096,25.56097561
AB,HOK,SEK ,HOK,H,1,4,5,9H,960,1.931,23.54878049
P,HOK,HOK ,HOK,H,1,4,5,10A,960,1.102,13.43902439
AB,HOK,HOK ,HOK,H,1,4,5,10B,960,1.581,19.2804878
P,SEK,HOK ,HOK,A,1,4,5,10C,960,0.533,6.5
AB,SEK,HOK ,HOK,A,1,4,5,10D,960,0.994,12.12195122
P,SEK,SEK ,HOK,A,1,4,5,10E,960,0.716,8.731707317
AB,SEK,SEK ,HOK,A,1,4,5,10F,960,0.481,5.865853659
P,HOK,SEK ,HOK,H,1,4,5,10G,960,0.61,7.43902439
AB,HOK,SEK ,HOK,H,1,4,5,10H,960,0.494,6.024390244
P,HOK,HOK ,SEK,A,2,5,5,1A,1440,0.579,1.603878116
AB,HOK,HOK ,SEK,A,2,5,5,1B,1440,1.765,4.889196676
P,SEK,HOK ,SEK,H,2,5,5,1C,1440,1.392,3.855955679
AB,SEK,HOK ,SEK,H,2,5,5,1D,1440,0.79,2.188365651
P,SEK,SEK ,SEK,H,2,5,5,1E,1440,0.992,2.747922438
AB,SEK,SEK ,SEK,H,2,5,5,1F,1440,0.39,1.08033241
P,HOK,SEK ,SEK,A,2,5,5,1G,1440,1.315,3.64265928
AB,HOK,SEK ,SEK,A,2,5,5,1H,1440,0.896,2.48199446
P,HOK,HOK ,SEK,A,2,5,5,2A,1440,0.853,2.362880886
AB,HOK,HOK ,SEK,A,2,5,5,2B,1440,1.645,4.556786704
P,SEK,HOK ,SEK,H,2,5,5,2C,1440,0.464,1.28531856
AB,SEK,HOK ,SEK,H,2,5,5,2D,1440,0.464,1.28531856
P,SEK,SEK ,SEK,H,2,5,5,2E,1440,0.735,2.03601108
AB,SEK,SEK ,SEK,H,2,5,5,2F,1440,0.403,1.11634349
P,HOK,SEK ,SEK,A,2,5,5,2G,1440,0.908,2.515235457
AB,HOK,SEK ,SEK,A,2,5,5,2H,1440,0.519,1.43767313
P,HOK,HOK ,SEK,A,2,5,5,3A,1440,0.456,1.263157895
AB,HOK,HOK ,SEK,A,2,5,5,3B,1440,0.29,0.8033240997
P,SEK,HOK ,SEK,H,2,5,5,3C,1440,1.721,4.767313019
AB,SEK,HOK ,SEK,H,2,5,5,3D,1440,0.25,0.6925207756
P,SEK,SEK ,SEK,H,2,5,5,3E,1440,0.806,2.232686981
AB,SEK,SEK ,SEK,H,2,5,5,3F,1440,0.431,1.193905817
P,HOK,SEK ,SEK,A,2,5,5,3G,1440,0.415,1.149584488
AB,HOK,SEK ,SEK,A,2,5,5,3H,1440,0.421,1.166204986
P,HOK,HOK ,SEK,A,2,4,5,4A,1440,0.561,1.55401662
AB,HOK,HOK ,SEK,A,2,4,5,4B,1440,0.889,2.462603878
P,SEK,HOK ,SEK,H,2,4,5,4C,1440,0.371,1.027700831
AB,SEK,HOK ,SEK,H,2,4,5,4D,1440,1.328,3.67867036
P,SEK,SEK ,SEK,H,2,4,5,4E,1440,1.126,3.119113573
AB,SEK,SEK ,SEK,H,2,4,5,4F,1440,0.448,1.24099723
P,HOK,SEK ,SEK,A,2,4,5,4G,1440,0.715,1.980609418
AB,HOK,SEK ,SEK,A,2,4,5,4H,1440,0.42,1.163434903
P,HOK,HOK ,SEK,A,2,4,5,5A,1440,1.15,3.185595568
AB,HOK,HOK ,SEK,A,2,4,5,5B,1440,1.735,4.806094183
P,SEK,HOK ,SEK,H,2,4,5,5C,1440,1.932,5.351800554
AB,SEK,HOK ,SEK,H,2,4,5,5D,1440,0.974,2.698060942
P,SEK,SEK ,SEK,H,2,4,5,5E,1440,2.04,5.650969529
AB,SEK,SEK ,SEK,H,2,4,5,5F,1440,1.017,2.817174515
P,HOK,SEK ,SEK,A,2,4,5,5G,1440,0.731,2.024930748
AB,HOK,SEK ,SEK,A,2,4,5,5H,1440,1.326,3.673130194
P,HOK,HOK ,HOK,H,2,4,5,6A,1440,1.373,3.8033241
AB,HOK,HOK ,HOK,H,2,4,5,6B,1440,0.651,1.8033241
P,SEK,HOK ,HOK,A,2,4,5,6C,1440,1.121,3.105263158
AB,SEK,HOK ,HOK,A,2,4,5,6D,1440,0.597,1.653739612
P,SEK,SEK ,HOK,A,2,4,5,6E,1440,1.591,4.407202216
AB,SEK,SEK ,HOK,A,2,4,5,6F,1440,1.193,3.304709141
P,HOK,SEK ,HOK,H,2,4,5,6G,1440,0.495,1.371191136
AB,HOK,SEK ,HOK,H,2,4,5,6H,1440,0.841,2.329639889
P,HOK,HOK ,HOK,H,2,3,5,7A,1440,1.222,3.385041551
AB,HOK,HOK ,HOK,H,2,3,5,7B,1440,0.275,0.7617728532
P,SEK,HOK ,HOK,A,2,3,5,7C,1440,1.495,4.141274238
AB,SEK,HOK ,HOK,A,2,3,5,7D,1440,0.392,1.085872576
P,SEK,SEK ,HOK,A,2,3,5,7E,1440,1.305,3.614958449
AB,SEK,SEK ,HOK,A,2,3,5,7F,1440,1.521,4.213296399
P,HOK,SEK ,HOK,H,2,3,5,7G,1440,1.256,3.479224377
AB,HOK,SEK ,HOK,H,2,3,5,7H,1440,1.366,3.783933518
P,HOK,HOK ,HOK,H,2,3,5,8A,1440,0.575,1.592797784
AB,HOK,HOK ,HOK,H,2,3,5,8B,1440,0.323,0.8947368421
P,SEK,HOK ,HOK,A,2,3,5,8C,1440,0.401,1.110803324
AB,SEK,HOK ,HOK,A,2,3,5,8D,1440,0.594,1.645429363
P,SEK,SEK ,HOK,A,2,3,5,8E,1440,1.699,4.706371191
AB,SEK,SEK ,HOK,A,2,3,5,8F,1440,0.31,0.8587257618
P,HOK,SEK ,HOK,H,2,3,5,8G,1440,0.777,2.152354571
AB,HOK,SEK ,HOK,H,2,3,5,8H,1440,0.564,1.56232687
P,HOK,HOK ,HOK,H,2,3,5,9A,1440,0.643,1.781163435
AB,HOK,HOK ,HOK,H,2,3,5,9B,1440,0.532,1.473684211
P,SEK,HOK ,HOK,A,2,3,5,9C,1440,0.567,1.570637119
AB,SEK,HOK ,HOK,A,2,3,5,9D,1440,0.502,1.390581717
P,SEK,SEK ,HOK,A,2,3,5,9E,1440,0.718,1.988919668
AB,SEK,SEK ,HOK,A,2,3,5,9F,1440,0.522,1.44598338
P,HOK,SEK ,HOK,H,2,3,5,9G,1440,0.993,2.750692521
AB,HOK,SEK ,HOK,H,2,3,5,9H,1440,1.131,3.132963989
P,HOK,HOK ,HOK,H,2,2,5,10A,1440,0.871,2.412742382
AB,HOK,HOK ,HOK,H,2,2,5,10B,1440,1.779,4.927977839
P,SEK,HOK ,HOK,A,2,2,5,10C,1440,1.813,5.022160665
AB,SEK,HOK ,HOK,A,2,2,5,10D,1440,1.385,3.836565097
P,SEK,SEK ,HOK,A,2,2,5,10E,1440,0.989,2.739612188
AB,SEK,SEK ,HOK,A,2,2,5,10F,1440,0.774,2.144044321
P,HOK,SEK ,HOK,H,2,2,5,10G,1440,1.492,4.132963989
AB,HOK,SEK ,HOK,H,2,2,5,10H,1440,1.637,4.534626039
P,HOK,HOK ,SEK,A,1,5,5,1A,1440,1.001,15.70196078
AB,HOK,HOK ,SEK,A,1,5,5,1B,1440,0.584,9.160784314
P,SEK,HOK ,SEK,H,1,5,5,1C,1440,0.586,9.192156863
AB,SEK,HOK ,SEK,H,1,5,5,1D,1440,1.291,20.25098039
P,SEK,SEK ,SEK,H,1,5,5,1E,1440,0.466,7.309803922
AB,SEK,SEK ,SEK,H,1,5,5,1F,1440,0.326,5.11372549
P,HOK,SEK ,SEK,A,1,5,5,1G,1440,1.29,20.23529412
AB,HOK,SEK ,SEK,A,1,5,5,1H,1440,0.499,7.82745098
P,HOK,HOK ,SEK,A,1,5,5,2A,1440,0.793,12.43921569
AB,HOK,HOK ,SEK,A,1,1,5,2B,1440,1.675,26.2745098
P,SEK,HOK ,SEK,H,1,1,5,2C,1440,1.541,24.17254902
AB,SEK,HOK ,SEK,H,1,1,5,2D,1440,1.135,17.80392157
P,SEK,SEK ,SEK,H,1,1,5,2E,1440,1.063,16.6745098
AB,SEK,SEK ,SEK,H,1,1,5,2F,1440,0.511,8.015686275
P,HOK,SEK ,SEK,A,1,1,5,2G,1440,0.692,10.85490196
AB,HOK,SEK ,SEK,A,1,1,5,2H,1440,1.495,23.45098039
P,HOK,HOK ,SEK,A,1,1,5,3A,1440,1.359,21.31764706
AB,HOK,HOK ,SEK,A,1,1,5,3B,1440,0.313,4.909803922
P,SEK,HOK ,SEK,H,1,1,5,3C,1440,1.66,26.03921569
AB,SEK,HOK ,SEK,H,1,1,5,3D,1440,0.353,5.537254902
P,SEK,SEK ,SEK,H,1,1,5,3E,1440,0.798,12.51764706
AB,SEK,SEK ,SEK,H,1,1,5,3F,1440,1.5,23.52941176
P,HOK,SEK ,SEK,A,1,1,5,3G,1440,1.834,28.76862745
AB,HOK,SEK ,SEK,A,1,1,5,3H,1440,0.37,5.803921569
P,HOK,HOK ,SEK,A,1,1,5,4A,1440,0.638,10.00784314
AB,HOK,HOK ,SEK,A,1,1,5,4B,1440,0.629,9.866666667
P,SEK,HOK ,SEK,H,1,1,5,4C,1440,1.349,21.16078431
AB,SEK,HOK ,SEK,H,1,1,5,4D,1440,0.552,8.658823529
P,SEK,SEK ,SEK,H,1,1,5,4E,1440,0.492,7.717647059
AB,SEK,SEK ,SEK,H,1,1,5,4F,1440,0.38,5.960784314
P,HOK,SEK ,SEK,A,1,1,5,4G,1440,0.93,14.58823529
AB,HOK,SEK ,SEK,A,1,1,5,4H,1440,0.536,8.407843137
P,HOK,HOK ,SEK,A,1,1,5,5A,1440,0.482,7.560784314
AB,HOK,HOK ,SEK,A,1,1,5,5B,1440,1.369,21.4745098
P,SEK,HOK ,SEK,H,1,1,5,5C,1440,1.237,19.40392157
AB,SEK,HOK ,SEK,H,1,1,5,5D,1440,1.456,22.83921569
P,SEK,SEK ,SEK,H,1,1,5,5E,1440,0.452,7.090196078
AB,SEK,SEK ,SEK,H,1,1,5,5F,1440,0.515,8.078431373
P,HOK,SEK ,SEK,A,1,1,5,5G,1440,0.879,13.78823529
AB,HOK,SEK ,SEK,A,1,1,5,5H,1440,0.761,11.9372549
P,HOK,HOK ,HOK,H,1,5,5,6A,1440,0.655,10.2745098
AB,HOK,HOK ,HOK,H,1,5,5,6B,1440,0.221,3.466666667
P,SEK,HOK ,HOK,A,1,5,5,6C,1440,1.046,16.40784314
AB,SEK,HOK ,HOK,A,1,5,5,6D,1440,0.667,10.4627451
P,SEK,SEK ,HOK,A,1,5,5,6E,1440,0.543,8.517647059
AB,SEK,SEK ,HOK,A,1,5,5,6F,1440,1.415,22.19607843
P,HOK,SEK ,HOK,H,1,5,5,6G,1440,1.621,25.42745098
AB,HOK,SEK ,HOK,H,1,5,5,6H,1440,0.581,9.11372549
P,HOK,HOK ,HOK,H,1,5,5,7A,1440,0.423,6.635294118
AB,HOK,HOK ,HOK,H,1,5,5,7B,1440,0.44,6.901960784
P,SEK,HOK ,HOK,A,1,5,5,7C,1440,1.336,20.95686275
AB,SEK,HOK ,HOK,A,1,5,5,7D,1440,0.336,5.270588235
P,SEK,SEK ,HOK,A,1,5,5,7E,1440,1.658,26.00784314
AB,SEK,SEK ,HOK,A,1,5,5,7F,1440,0.34,5.333333333
P,HOK,SEK ,HOK,H,1,5,5,7G,1440,0.301,4.721568627
AB,HOK,SEK ,HOK,H,1,5,5,7H,1440,0.774,12.14117647
P,HOK,HOK ,HOK,H,1,5,5,8A,1440,0.51,8
AB,HOK,HOK ,HOK,H,1,5,5,8B,1440,0.372,5.835294118
P,SEK,HOK ,HOK,A,1,5,5,8C,1440,0.336,5.270588235
AB,SEK,HOK ,HOK,A,1,5,5,8D,1440,0.385,6.039215686
P,SEK,SEK ,HOK,A,1,5,5,8E,1440,0.549,8.611764706
AB,SEK,SEK ,HOK,A,1,5,5,8F,1440,0.563,8.831372549
P,HOK,SEK ,HOK,H,1,5,5,8G,1440,1.592,24.97254902
AB,HOK,SEK ,HOK,H,1,5,5,8H,1440,1.206,18.91764706
P,HOK,HOK ,HOK,H,1,4,5,9A,1440,0.843,13.22352941
AB,HOK,HOK ,HOK,H,1,4,5,9B,1440,0.972,15.24705882
P,SEK,HOK ,HOK,A,1,4,5,9C,1440,0.605,9.490196078
AB,SEK,HOK ,HOK,A,1,4,5,9D,1440,0.588,9.223529412
P,SEK,SEK ,HOK,A,1,4,5,9E,1440,0.408,6.4
AB,SEK,SEK ,HOK,A,1,4,5,9FR,1440,0.611,9.584313725
P,HOK,SEK ,HOK,H,1,4,5,9G,1440,2.034,31.90588235
AB,HOK,SEK ,HOK,H,1,4,5,9H,1440,1.696,26.60392157
P,HOK,HOK ,HOK,H,1,4,5,10A,1440,0.901,14.13333333
AB,HOK,HOK ,HOK,H,1,4,5,10B,1440,1.231,19.30980392
P,SEK,HOK ,HOK,A,1,4,5,10C,1440,0.547,8.580392157
AB,SEK,HOK ,HOK,A,1,4,5,10D,1440,0.903,14.16470588
P,SEK,SEK ,HOK,A,1,4,5,10E,1440,0.704,11.04313725
AB,SEK,SEK ,HOK,A,1,4,5,10F,1440,0.469,7.356862745
P,HOK,SEK ,HOK,H,1,4,5,10G,1440,0.686,10.76078431
AB,HOK,SEK ,HOK,H,1,4,5,10H,1440,0.506,7.937254902
P,HOK,HOK ,SEK,A,2,5,5,1A,2880,0.654,1.672634271
AB,HOK,HOK ,SEK,A,2,5,5,1B,2880,1.916,4.900255754
P,SEK,HOK ,SEK,H,2,5,5,1C,2880,1.458,3.728900256
AB,SEK,HOK ,SEK,H,2,5,5,1D,2880,0.53,1.355498721
P,SEK,SEK ,SEK,H,2,5,5,1E,2880,0.985,2.519181586
AB,SEK,SEK ,SEK,H,2,5,5,1F,2880,0.401,1.025575448
P,HOK,SEK ,SEK,A,2,5,5,1G,2880,0.589,1.506393862
AB,HOK,SEK ,SEK,A,2,5,5,1H,2880,1.059,2.708439898
P,HOK,HOK ,SEK,A,2,5,5,2A,2880,0.5,1.278772379
AB,HOK,HOK ,SEK,A,2,5,5,2B,2880,1.641,4.196930946
P,SEK,HOK ,SEK,H,2,5,5,2C,2880,0.497,1.271099744
AB,SEK,HOK ,SEK,H,2,5,5,2D,2880,0.526,1.345268542
P,SEK,SEK ,SEK,H,2,5,5,2E,2880,0.847,2.166240409
AB,SEK,SEK ,SEK,H,2,5,5,2F,2880,0.448,1.145780051
P,HOK,SEK ,SEK,A,2,5,5,2G,2880,1.156,2.956521739
AB,HOK,SEK ,SEK,A,2,5,5,2H,2880,0.488,1.248081841
P,HOK,HOK ,SEK,A,2,5,5,3A,2880,0.497,1.271099744
AB,HOK,HOK ,SEK,A,2,5,5,3B,2880,0.342,0.8746803069
P,SEK,HOK ,SEK,H,2,5,5,3C,2880,1.731,4.427109974
AB,SEK,HOK ,SEK,H,2,5,5,3D,2880,0.272,0.6956521739
P,SEK,SEK ,SEK,H,2,5,5,3E,2880,0.811,2.074168798
AB,SEK,SEK ,SEK,H,2,5,5,3F,2880,0.423,1.081841432
P,HOK,SEK ,SEK,A,2,5,5,3G,2880,0.47,1.202046036
AB,HOK,SEK ,SEK,A,2,5,5,3H,2880,0.46,1.176470588
P,HOK,HOK ,SEK,A,2,4,5,4A,2880,0.59,1.508951407
AB,HOK,HOK ,SEK,A,2,4,5,4B,2880,0.771,1.971867008
P,SEK,HOK ,SEK,H,2,4,5,4C,2880,0.396,1.012787724
AB,SEK,HOK ,SEK,H,2,4,5,4D,2880,1.321,3.378516624
P,SEK,SEK ,SEK,H,2,4,5,4E,2880,0.562,1.437340153
AB,SEK,SEK ,SEK,H,2,4,5,4F,2880,0.483,1.235294118
P,HOK,SEK ,SEK,A,2,4,5,4G,2880,0.711,1.818414322
AB,HOK,SEK ,SEK,A,2,4,5,4H,2880,0.356,0.9104859335
P,HOK,HOK ,SEK,A,2,4,5,5A,2880,1.271,3.250639386
AB,HOK,HOK ,SEK,A,2,4,5,5B,2880,1.665,4.25831202
P,SEK,HOK ,SEK,H,2,4,5,5C,2880,2.192,5.606138107
AB,SEK,HOK ,SEK,H,2,4,5,5D,2880,0.816,2.086956522
P,SEK,SEK ,SEK,H,2,4,5,5E,2880,2.211,5.654731458
AB,SEK,SEK ,SEK,H,2,4,5,5F,2880,0.929,2.375959079
P,HOK,SEK ,SEK,A,2,4,5,5G,2880,0.869,2.222506394
AB,HOK,SEK ,SEK,A,2,4,5,5H,2880,1.249,3.194373402
P,HOK,HOK ,HOK,H,2,4,5,6A,2880,0.541,1.383631714
AB,HOK,HOK ,HOK,H,2,4,5,6B,2880,0.665,1.700767263
P,SEK,HOK ,HOK,A,2,4,5,6C,2880,0.774,1.979539642
AB,SEK,HOK ,HOK,A,2,4,5,6D,2880,0.649,1.659846547
P,SEK,SEK ,HOK,A,2,4,5,6E,2880,1.532,3.918158568
AB,SEK,SEK ,HOK,A,2,4,5,6F,2880,1.18,3.017902813
P,HOK,SEK ,HOK,H,2,4,5,6G,2880,0.531,1.358056266
AB,HOK,SEK ,HOK,H,2,4,5,6H,2880,0.776,1.984654731
P,HOK,HOK ,HOK,H,2,3,5,7A,2880,1.01,2.583120205
AB,HOK,HOK ,HOK,H,2,3,5,7B,2880,0.295,0.7544757033
P,SEK,HOK ,HOK,A,2,3,5,7C,2880,0.996,2.547314578
AB,SEK,HOK ,HOK,A,2,3,5,7D,2880,0.436,1.115089514
P,SEK,SEK ,HOK,A,2,3,5,7E,2880,1.223,3.127877238
AB,SEK,SEK ,HOK,A,2,3,5,7F,2880,0.943,2.411764706
P,HOK,SEK ,HOK,H,2,3,5,7G,2880,1.24,3.171355499
AB,HOK,SEK ,HOK,H,2,3,5,7H,2880,1.347,3.445012788
P,HOK,HOK ,HOK,H,2,3,5,8A,2880,0.56,1.432225064
AB,HOK,HOK ,HOK,H,2,3,5,8B,2880,0.346,0.8849104859
P,SEK,HOK ,HOK,A,2,3,5,8C,2880,0.437,1.117647059
AB,SEK,HOK ,HOK,A,2,3,5,8D,2880,0.513,1.31202046
P,SEK,SEK ,HOK,A,2,3,5,8E,2880,1.706,4.363171355
AB,SEK,SEK ,HOK,A,2,3,5,8F,2880,0.333,0.8516624041
P,HOK,SEK ,HOK,H,2,3,5,8G,2880,0.835,2.135549872
AB,HOK,SEK ,HOK,H,2,3,5,8H,2880,0.655,1.675191816
P,HOK,HOK ,HOK,H,2,3,5,9A,2880,0.762,1.948849105
AB,HOK,HOK ,HOK,H,2,3,5,9B,2880,0.639,1.6342711
P,SEK,HOK ,HOK,A,2,3,5,9C,2880,0.737,1.884910486
AB,SEK,HOK ,HOK,A,2,3,5,9D,2880,0.635,1.624040921
P,SEK,SEK ,HOK,A,2,3,5,9E,2880,0.797,2.038363171
AB,SEK,SEK ,HOK,A,2,3,5,9F,2880,0.636,1.626598465
P,HOK,SEK ,HOK,H,2,3,5,9G,2880,0.955,2.442455243
AB,HOK,SEK ,HOK,H,2,3,5,9H,2880,1.365,3.491048593
P,HOK,HOK ,HOK,H,2,2,5,10A,2880,0.987,2.524296675
AB,HOK,HOK ,HOK,H,2,2,5,10B,2880,1.712,4.378516624
P,SEK,HOK ,HOK,A,2,2,5,10C,2880,1.804,4.613810742
AB,SEK,HOK ,HOK,A,2,2,5,10D,2880,1.399,3.578005115
