treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw
P,HOK,SEK ,SEK,A,1,1,11,3G,960,
AB,HOK,SEK ,SEK,A,1,1,11,3H,960,
P,HOK,HOK ,SEK,A,1,1,11,4A,960,
AB,HOK,HOK ,SEK,A,1,1,11,4B,960,
P,SEK,HOK ,SEK,H,1,1,11,4C,960,
AB,SEK,HOK ,SEK,H,1,1,11,4D,960,
P,SEK,SEK ,SEK,H,1,1,11,4E,960,
AB,SEK,SEK ,SEK,H,1,1,11,4F,960,
P,HOK,SEK ,SEK,A,1,1,11,4G,960,
AB,HOK,SEK ,SEK,A,1,1,11,4H,960,
P,HOK,HOK ,SEK,A,1,1,11,5A,960,
