treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw
AB,SEK,HOK ,SEK,H,1,1,11,2D,4320,
P,SEK,SEK ,SEK,H,1,1,11,2E,4320,
AB,SEK,SEK ,SEK,H,1,1,11,2F,4320,
P,HOK,SEK ,SEK,A,1,1,11,2G,4320,
AB,HOK,SEK ,SEK,A,1,1,11,2H,4320,
P,HOK,HOK ,SEK,A,1,1,11,3A,4320,
AB,HOK,HOK ,SEK,A,1,1,11,3B,4320,
P,SEK,HOK ,SEK,H,1,1,11,3C,4320,
AB,SEK,HOK ,SEK,H,1,1,11,3D,4320,
P,SEK,SEK ,SEK,H,1,1,11,3E,4320,
AB,SEK,SEK ,SEK,H,1,1,11,3F,4320,
P,HOK,SEK ,SEK,A,1,1,11,3G,4320,
AB,HOK,SEK ,SEK,A,1,1,11,3H,4320,
P,HOK,HOK ,SEK,A,1,1,11,4A,4320,
AB,HOK,HOK ,SEK,A,1,1,11,4B,4320,
P,SEK,HOK ,SEK,H,1,1,11,4C,4320,
AB,SEK,HOK ,SEK,H,1,1,11,4D,4320,
P,SEK,SEK ,SEK,H,1,1,11,4E,4320,
AB,SEK,SEK ,SEK,H,1,1,11,4F,4320,
P,HOK,SEK ,SEK,A,1,1,11,4G,4320,
AB,HOK,SEK ,SEK,A,1,1,11,4H,4320,
P,HOK,HOK ,SEK,A,1,1,11,5A,4320,
AB,HOK,HOK ,SEK,A,1,1,11,5B,4320,
P,SEK,HOK ,SEK,H,1,1,11,5C,4320,
AB,SEK,HOK ,SEK,H,1,1,11,5D,4320,
P,SEK,SEK ,SEK,H,1,1,11,5E,4320,
AB,SEK,SEK ,SEK,H,1,1,11,5F,4320,
P,HOK,SEK ,SEK,A,1,1,11,5G,4320,
AB,HOK,SEK ,SEK,A,1,1,11,5H,4320,
P,HOK,HOK ,HOK,H,1,5,11,6A,4320,
AB,HOK,HOK ,HOK,H,1,5,11,6B,4320,
P,SEK,HOK ,HOK,A,1,5,11,6C,4320,
AB,SEK,HOK ,HOK,A,1,5,11,6D,4320,
P,SEK,SEK ,HOK,A,1,5,11,6E,4320,
AB,SEK,SEK ,HOK,A,1,5,11,6F,4320,
P,HOK,SEK ,HOK,H,1,5,11,6G,4320,
AB,HOK,SEK ,HOK,H,1,5,11,6H,4320,
P,HOK,HOK ,HOK,H,1,5,11,7A,4320,
AB,HOK,HOK ,HOK,H,1,5,11,7B,4320,
P,SEK,HOK ,HOK,A,1,5,11,7C,4320,
AB,SEK,HOK ,HOK,A,1,5,11,7D,4320,
P,SEK,SEK ,HOK,A,1,5,11,7E,4320,
AB,SEK,SEK ,HOK,A,1,5,11,7F,4320,
P,HOK,SEK ,HOK,H,1,5,11,7G,4320,
AB,HOK,SEK ,HOK,H,1,5,11,7H,4320,
P,HOK,HOK ,HOK,H,1,5,11,8A,4320,
AB,HOK,HOK ,HOK,H,1,5,11,8B,4320,
P,SEK,HOK ,HOK,A,1,5,11,8C,4320,
AB,SEK,HOK ,HOK,A,1,5,11,8D,4320,
P,SEK,SEK ,HOK,A,1,5,11,8E,4320,
AB,SEK,SEK ,HOK,A,1,5,11,8F,4320,
P,HOK,SEK ,HOK,H,1,5,11,8G,4320,
AB,HOK,SEK ,HOK,H,1,5,11,8H,4320,
P,HOK,HOK ,HOK,H,1,4,11,9A,4320,
AB,HOK,HOK ,HOK,H,1,4,11,9B,4320,
P,SEK,HOK ,HOK,A,1,4,11,9C,4320,
AB,SEK,HOK ,HOK,A,1,4,11,9D,4320,
P,SEK,SEK ,HOK,A,1,4,11,9E,4320,
AB,SEK,SEK ,HOK,A,1,4,11,9FR,4320,
P,HOK,SEK ,HOK,H,1,4,11,9G,4320,
AB,HOK,SEK ,HOK,H,1,4,11,9H,4320,
P,HOK,HOK ,HOK,H,1,4,11,10A,4320,
AB,HOK,HOK ,HOK,H,1,4,11,10B,4320,
P,SEK,HOK ,HOK,A,1,4,11,10C,4320,
AB,SEK,HOK ,HOK,A,1,4,11,10D,4320,
P,SEK,SEK ,HOK,A,1,4,11,10E,4320,
AB,SEK,SEK ,HOK,A,1,4,11,10F,4320,
P,HOK,SEK ,HOK,H,1,4,11,10G,4320,
AB,HOK,SEK ,HOK,H,1,4,11,10H,4320,
